sampid,total_reads,discarded,retained,retained_prop,initial_mean_len,initial_sd_len,trimmed_mean_len,trimmed_sd_len
2-21,11076,1,11075,0.9999097146984471,874.9782412423258,252.3733827329395,357.04523702031605,118.37977456258261
2-18,12867,9,12858,0.9993005362555374,890.7335820315536,257.1468484895518,364.0765282314512,122.38110302602185
2-17,16200,11,16189,0.999320987654321,889.6271604938272,303.59743787993926,300.7818889369325,133.5022256671487
2-22,14684,11,14673,0.9992508853173522,996.6326614001634,269.6862591506866,303.55332924419,129.3473631626627
2-19,16942,11,16931,0.9993507260063746,903.1010506433715,274.8932669006549,355.1804973126218,123.72635297052302
2-20,20440,15,20425,0.99926614481409,898.8606653620352,257.0240345399204,357.2577723378213,125.94587677742648
2-23,15468,4,15464,0.99974140160331,920.297970002586,254.47270383273624,362.02431453698915,124.75837472285875
2-27,18339,6,18333,0.999672828398495,922.3291891597142,305.4057135846041,295.0663830251459,129.7954378003585
2-28,15378,4,15374,0.9997398881519053,1043.5690596956692,285.4401598887646,303.7169897229088,129.00998254020007
2-29,11521,65,11456,0.9943581286346671,917.2005034285219,278.34629411519603,307.72302723463685,127.24919141028523
2-25,28691,26,28665,0.9990937924784775,821.6561988079885,278.26752017263334,367.04161869876157,126.56582042107155
2-31,14859,18,14841,0.9987886129618413,913.5870516185477,259.90789733966193,357.04945758372077,122.94843431241502
2-32,15535,7,15528,0.999549404570325,902.543418088188,291.0999708449159,308.7007341576507,114.67747293930206
3-1,14113,8,14105,0.9994331467441366,908.2836391979026,265.6521114738587,314.1868840836583,118.79923714997507
2-30,20845,4,20841,0.9998081074598225,887.9287119213241,226.01424613984258,364.63173552132815,122.48833909208551
3-12,11055,49,11006,0.9955676164631388,899.9363184079602,277.5248279704974,346.6758131928039,136.76753486000632
3-15,15100,17,15083,0.9988741721854305,938.1614569536424,275.1151126555345,303.15567194855134,111.11341557476851
3-18,8978,23,8955,0.9974381822232123,875.2943862775674,301.06882731528935,333.85616973757675,142.7782435890517
3-13,22813,35,22778,0.9984657870512427,862.1645991320738,274.0488693403105,307.7051101940469,119.8117624429478
3-10,27665,63,27602,0.9977227543827941,899.1473703235134,288.2709693253111,285.90015216288674,111.42765260206136
3-22,10946,12,10934,0.9989037091174858,917.1913941165723,230.71814712030826,396.60599963416865,122.95098429512707
3-20,18576,24,18552,0.9987080103359173,850.1702196382429,260.8195694221713,348.92987278999567,132.7830552192395
3-24,16053,8,16045,0.9995016507817853,920.4888805830686,250.89657363031256,314.53231536304145,111.80681466458252
3-25,19573,72,19501,0.9963214632401778,882.0172686864559,291.60543517987645,300.4062355776627,110.40994933841084
