index,print_name,show_name,show_tip,subject_id
H1N1pdm09_Cali09,H1N1pdm09_Cali09,1,1,
4-7|C,HCMC-1880_D9_Consensus,1,1,HCMC-1880
4-7|M1,HCMC-1880_D9_Minor,1,0,HCMC-1880
4-13|C,HCMC-1890_D4_Consensus,1,1,HCMC-1890
4-13|M1,HCMC-1890_D4_Minor,1,0,HCMC-1890
4-1|C,HCMC-1711_D7_Consensus,1,1,HCMC-1711
4-1|M1,HCMC-1711_D7_Minor,1,0,HCMC-1711
3-20|C,11-001_D2_Consensus,1,1,11-001
3-20|M1,11-001_D2_Minor,1,0,11-001
3-1|C,11-1015_D2_Consensus,1,1,11-1015
3-1|M1,11-1015_D2_Minor,1,0,11-1015
3-25|C,12-001_D2_Consensus,1,1,12-001
3-26|C,12-001_D4_Consensus,1,1,12-001
3-25|M1,12-001_D2_Minor,1,0,12-001
3-26|M1,12-001_D4_Minor,1,0,12-001
3-10|C,11-1020_D6_Consensus,1,1,11-1020
3-10|M1,11-1020_D6_Minor,1,0,11-1020
4-4|C,HCMC-1716_D6_Consensus,1,1,HCMC-1716
4-4|M1,HCMC-1716_D6_Minor,1,0,HCMC-1716
3-22|C,11-002_D4_Consensus,1,1,11-002
3-22|M1,11-002_D4_Minor,1,0,11-002
4-9|C,HCMC-1889_D3_Consensus,1,1,HCMC-1889
4-11|C,HCMC-1889_D6_Consensus,1,1,HCMC-1889
4-10|C,HCMC-1889_D4_Consensus,1,1,HCMC-1889
4-11|M1,HCMC-1889_D6_Minor,1,0,HCMC-1889
4-9|M1,HCMC-1889_D3_Minor,1,0,HCMC-1889
4-10|M1,HCMC-1889_D4_Minor,1,0,HCMC-1889
2-32|C,H296/S04_D-NaN_Consensus,1,1,H296/S04
2-31|C,H296/S04_D-NaN_Consensus,1,1,H296/S04
2-30|C,H296/S03_D3_Consensus,1,1,H296/S03
2-30|M1,H296/S03_D3_Minor-1,1,0,H296/S03
2-32|M1,H296/S04_D-NaN_Minor,1,0,H296/S04
2-31|M1,H296/S04_D-NaN_Minor,1,0,H296/S04
2-24|C,H160/S05_D4_Consensus,1,1,H160/S05
2-25|C,H160/S05_D5_Consensus,1,1,H160/S05
2-23|C,H160/S05_D0_Consensus,1,1,H160/S05
2-23|M1,H160/S05_D0_Minor,1,0,H160/S05
2-25|M1,H160/S05_D5_Minor,1,0,H160/S05
2-24|M1,H160/S05_D4_Minor,1,0,H160/S05
3-30|C,HCMC-1424_D5_Consensus,1,1,HCMC-1424
3-30|M1,HCMC-1424_D5_Minor,1,0,HCMC-1424
3-15|C,12-1234_D3_Consensus,1,1,12-1234
3-7|C,11-1016_D10_Consensus,1,1,11-1016
3-7|M1,11-1016_D10_Minor,1,0,11-1016
3-6|C,11-1016_D8_Consensus,1,1,11-1016
3-6|M1,11-1016_D8_Minor,1,0,11-1016
3-29|M1,12-005_D12_Minor,1,0,12-005
3-28|M1,12-005_D10_Minor,1,0,12-005
3-29|C,12-005_D12_Consensus,1,1,12-005
3-28|C,12-005_D10_Consensus,1,1,12-005
2-21|C,H160/S03_D2_Consensus,1,1,H160/S03
2-21|M1,H160/S03_D2_Minor,1,0,H160/S03
3-24|C,11-006_D4_Consensus,1,1,11-006
3-24|M1,11-006_D4_Minor,1,0,11-006
3-15|M1,12-1234_D3_Minor,1,0,12-1234
3-13|C,11-1022_D6_Consensus,1,1,11-1022
3-13|M1,11-1022_D6_Minor,1,0,11-1022
6-32|C,H089/S03_D3_Consensus,1,1,H089/S03
6-32|M1,H089/S03_D3_Minor,1,0,H089/S03
2-18|C,H089/S04_D-NaN_Consensus,1,1,H089/S04
2-20|C,H089/S04_D-NaN_Consensus,1,1,H089/S04
2-19|C,H089/S04_D-NaN_Consensus,1,1,H089/S04
2-18|M1,H089/S04_D-NaN_Minor-1,1,0,H089/S04
2-20|M1,H089/S04_D-NaN_Minor-1,1,0,H089/S04
2-19|M1,H089/S04_D-NaN_Minor-1,1,0,H089/S04
2-26|C,H186/S04_D0_Consensus,1,1,H186/S04
2-26|M1,H186/S04_D0_Minor,1,0,H186/S04
6-28|C,H058/S05_D1_Consensus,1,1,H058/S05
6-26|C,H058/S02_D-NaN_Consensus,1,1,H058/S02
6-28|M1,H058/S05_D1_Minor,1,0,H058/S05
6-26|M1,H058/S02_D-NaN_Minor,1,0,H058/S02
6-24|C,H053/S05_D3_Consensus,1,1,H053/S05
6-17|C,H053/S03_D1_Consensus,1,1,H053/S03
6-23|C,H053/S05_D2_Consensus,1,1,H053/S05
6-18|C,H053/S03_D4_Consensus,1,1,H053/S03
6-20|C,H053/S04_D-NaN_Consensus,1,1,H053/S04
6-20|M1,H053/S04_D-NaN_Minor,1,0,H053/S04
4-19|C,H306/S02_D3_Consensus,1,1,H306/S02
4-19|M1,H306/S02_D3_Minor,1,0,H306/S02
6-22|C,H053/S05_D0_Consensus,1,1,H053/S05
6-24|M1,H053/S05_D3_Minor,1,0,H053/S05
6-23|M1,H053/S05_D2_Minor,1,0,H053/S05
6-22|M1,H053/S05_D0_Minor,1,0,H053/S05
6-18|M1,H053/S03_D4_Minor,1,0,H053/S03
6-17|M1,H053/S03_D1_Minor,1,0,H053/S03
