sampid,mapped,unmapped,fail_qual
2-17,3237,12879,73
2-18,12511,209,138
2-19,16431,301,199
2-20,18016,2221,188
2-21,10269,717,89
2-22,7253,7256,164
2-23,14974,325,165
2-24,64745,29460,606
2-25,14351,14173,141
2-26,89954,13687,1186
2-27,9733,8436,164
2-28,13896,1042,436
2-29,1278,10168,10
2-30,20429,235,177
2-31,14164,560,117
2-32,15143,251,134
3-1,13694,257,154
3-10,12843,14641,118
3-12,3967,6955,84
3-13,18335,3891,552
3-15,13973,1011,99
3-18,3489,5386,80
3-20,5796,12713,43
3-22,9766,1062,106
3-24,15498,452,95
3-25,17285,2079,137
3-26,18236,1035,123
3-27,2035,14685,27
3-28,18154,441,134
3-29,22573,619,234
3-3,5305,9725,128
3-30,14952,484,159
3-6,19353,2231,141
3-7,8659,9589,79
3-9,3413,8696,31
4-1,18909,373,144
4-10,21615,1664,323
4-11,24435,561,334
4-13,19728,3994,221
4-17,2620,9937,25
4-19,19790,349,267
4-2,1649,21438,6
4-22,8809,285,119
4-4,17984,654,317
4-5,5655,10587,49
4-7,18767,352,214
4-9,18912,1029,756
6-17,18033,204,191
6-18,16810,5972,174
6-20,7112,5511,49
6-21,6782,21815,60
6-22,66116,1990,816
6-23,14205,981,264
6-24,10991,9125,115
6-25,9736,1038,94
6-26,17233,640,385
6-27,8581,625,155
6-28,13416,377,285
6-31,11219,1253,119
6-32,12410,1936,147
