sampid,gene,pi
3-1,8-NS,0.00025203033352070594
3-1,5-NP,0.00013991095760616606
6-21,1-PB2,0.00035005575579786374
3-15,1-PB2,0.0002593064546831115
4-4,1-PB2,0.0002042405054624949
6-32,2-PB1,8.207276890938156e-05
6-22,1-PB2,0.00010488005047454423
6-20,6-NA,0.0003055965176112909
6-25,6-NA,0.00014994222493103934
3-22,1-PB2,0.0001368185754804747
4-11,1-PB2,0.00017592551536228942
3-20,2-PB1,0.0006306289229894547
3-24,2-PB1,0.00019150884591402054
2-26,5-NP,0.00012850944825122798
2-21,4-HA,0.0004227028799982641
2-32,2-PB1,0.00029349532452943805
6-24,6-NA,0.0004457869894516485
6-21,2-PB1,0.0005298595942351977
3-15,2-PB1,0.0007155397182323746
6-18,2-PB1,0.0002226308181786252
6-22,3-PA,0.00012142442537031273
6-32,1-PB2,0.00012234339231404783
4-10,4-HA,0.0001015032135011988
3-18,5-NP,0.00046729014201109535
3-30,6-NA,0.00033077762851034103
6-17,7-M,0.00015155569916754032
2-28,3-PA,0.00025925018362831154
3-22,8-NS,0.00031863786237114756
4-11,7-M,0.00042130387578186526
2-25,5-NP,0.000735510200982311
4-1,5-NP,0.00013334957797188221
6-21,6-NA,0.0006474297506555799
6-32,3-PA,6.653245614756788e-05
3-24,7-M,0.00023635559300397635
3-27,7-M,0.00026637690562274625
3-27,8-NS,0.0004815912815521235
2-27,3-PA,0.0004275081779852632
4-19,2-PB1,0.00022091046445480456
6-31,5-NP,0.0004065346566205061
3-18,4-HA,0.00045276157496040213
4-11,4-HA,0.00021415390503388865
2-26,1-PB2,0.00024673399508459123
6-20,2-PB1,0.00019210182881148358
3-7,3-PA,0.00017116132264349655
2-24,7-M,0.0006274429181078598
2-24,8-NS,0.0002983075192340537
3-6,4-HA,0.00031249865581311424
4-5,3-PA,0.0002630267773710742
3-15,3-PA,0.0001425991894323731
3-1,6-NA,0.0006055134933449528
6-27,5-NP,0.00033850244076471175
3-26,4-HA,0.00010196614435942291
6-23,7-M,0.00040353778526835054
6-27,7-M,0.00027778440633280903
3-9,8-NS,0.0001836643867484516
6-23,6-NA,0.00010727775226013394
6-22,7-M,0.00044890468621188356
2-17,7-M,0.00021179277661032906
2-17,8-NS,0.0003467427345236918
4-5,1-PB2,0.00022040138568412698
2-21,7-M,0.00015660472502391145
2-21,8-NS,0.0003873226256296785
3-12,8-NS,0.00021029528770491454
3-28,5-NP,0.0004362218233434307
6-21,7-M,0.00037089550658222804
4-4,7-M,0.00035286952848883333
4-4,8-NS,0.0002168251460327572
3-1,1-PB2,0.0001272111697833413
2-25,6-NA,0.00019192236455094097
3-28,2-PB1,0.0004757021231048203
6-18,4-HA,0.0005522560429416721
3-6,3-PA,0.00019220414837770847
2-30,4-HA,0.000504246115026926
3-13,6-NA,0.0001913761033876803
3-3,4-HA,0.0001603503041151917
3-28,3-PA,8.98768160275621e-05
2-24,2-PB1,0.00017249741028078222
4-1,3-PA,9.092035767304154e-05
2-31,7-M,9.41775830682229e-05
2-31,8-NS,0.00012112399469730215
2-25,4-HA,0.0008614685239542251
6-31,2-PB1,0.00020563538742511057
4-4,4-HA,8.191331824488791e-05
4-1,1-PB2,6.399148050214504e-05
2-31,4-HA,0.0005054391085567214
3-15,5-NP,0.00026268050264463354
2-25,1-PB2,0.0003913913719437247
2-22,1-PB2,0.00019475722485459734
6-31,1-PB2,7.445177711593039e-05
6-23,4-HA,0.0002990728765163762
3-30,2-PB1,0.00012222467360037376
3-13,7-M,0.00013610715822909452
3-13,8-NS,0.00014466205589509266
2-28,1-PB2,0.00041244601658782385
3-7,7-M,0.0004379277756616546
3-12,6-NA,0.00011467210629710827
6-27,1-PB2,5.919704169182239e-05
2-18,8-NS,0.0002304721024611512
2-26,2-PB1,0.0001675399563593766
2-31,6-NA,0.00011337830618717926
2-24,4-HA,0.0002459897100812411
6-17,4-HA,0.0003144186822943804
6-21,4-HA,0.0005591308115910124
2-20,1-PB2,0.00043690667213483117
4-10,3-PA,0.00010925568225308097
3-12,3-PA,0.0005639616904948116
6-28,4-HA,0.0005838328966650462
4-4,2-PB1,0.0005503735931358801
