gene,l1norm,genelen,sampid1,sampid2
1-PB2,1.978395849982923,2301,6-24,6-20
2-PB1,0.8640052569288643,2234,6-24,6-20
3-PA,0.7294870501598925,2192,6-24,6-20
4-HA,1.4022225976785385,1684,6-24,6-20
5-NP,1.2788412111078533,1398,6-24,6-20
6-NA,1.718645940118777,1411,6-24,6-20
7-M,0.0,1003,6-24,6-20
8-NS,1.549478038932266,864,6-24,6-20
1-PB2,0.3498597224453641,2301,6-22,6-17
2-PB1,0.16555384475975893,2318,6-22,6-17
3-PA,0.4300175729927904,2208,6-22,6-17
4-HA,1.245481736334055,1734,6-22,6-17
5-NP,0.15186579302012185,1507,6-22,6-17
6-NA,0.32431036168198957,1437,6-22,6-17
7-M,0.34923009894226553,1002,6-22,6-17
8-NS,1.1956521739130435,835,6-22,6-17
1-PB2,0.14026186102119964,1964,6-28,6-25
2-PB1,0.2006633499170813,1111,6-28,6-25
3-PA,0.3287809640578524,2056,6-28,6-25
4-HA,3.153121303084551,1473,6-28,6-25
5-NP,0.4187951302867552,1365,6-28,6-25
6-NA,1.9196616324668576,1420,6-28,6-25
7-M,2.1163942807778424,999,6-28,6-25
8-NS,0.11646831700105079,729,6-28,6-25
1-PB2,8.625864585787404,2301,2-21,2-23
2-PB1,8.499817215053868,2311,2-21,2-23
3-PA,2.338487981179427,2206,2-21,2-23
4-HA,10.867118000792493,1745,2-21,2-23
5-NP,4.534816972487579,1507,2-21,2-23
6-NA,10.420891475676202,1437,2-21,2-23
7-M,0.27834528746953546,1002,2-21,2-23
8-NS,4.35534574106779,864,2-21,2-23
1-PB2,4.020239675834569,2284,2-26,2-28
2-PB1,0.48443776948173023,1455,2-26,2-28
3-PA,3.075984814825413,2198,2-26,2-28
4-HA,1.049614327073876,1328,2-26,2-28
5-NP,0.4968169871195232,1507,2-26,2-28
6-NA,0.04325371207230469,1437,2-26,2-28
7-M,1.7771053007792035,1002,2-26,2-28
8-NS,0.18201904909127414,864,2-26,2-28
1-PB2,4.461820442612125,2301,4-10,6-23
2-PB1,4.397690916031801,2307,4-10,6-23
3-PA,2.499331213579394,2198,4-10,6-23
4-HA,12.588272962676045,1737,4-10,6-23
5-NP,4.362289349010913,1507,4-10,6-23
6-NA,6.1587684599156125,1437,4-10,6-23
7-M,0.4584403699089137,1002,4-10,6-23
8-NS,0.045180722891566216,864,4-10,6-23
1-PB2,4.321809488209825,2301,4-10,2-30
2-PB1,6.158893675469813,2307,4-10,2-30
3-PA,2.24347877044015,2198,4-10,2-30
4-HA,7.336440077051755,1737,4-10,2-30
5-NP,0.13285843509724105,1507,4-10,2-30
6-NA,2.0,1437,4-10,2-30
7-M,0.49122095616560557,1003,4-10,2-30
8-NS,0.0,864,4-10,2-30
1-PB2,4.386325617242083,2301,4-10,2-31
2-PB1,6.387926337583088,2307,4-10,2-31
3-PA,2.4514899870139804,2198,4-10,2-31
4-HA,7.12471967861081,1737,4-10,2-31
5-NP,0.0646766169154229,1507,4-10,2-31
6-NA,2.1675777841258164,1437,4-10,2-31
7-M,0.5858000319724149,1003,4-10,2-31
8-NS,0.1040882306930176,864,4-10,2-31
1-PB2,4.448356943505559,2301,4-10,6-26
2-PB1,2.3654970760233915,2307,4-10,6-26
