sampid,total,combined,percent_combined
H3N2_1205_T0_T_S517_N701_R,187863,174351,0.9280752463231184
H3N2_1205_T1_N_S517_N702_R,212211,200015,0.9425288981249794
H3N2_1205_T2_T_S517_N703_R,204817,191516,0.935059101539423
H3N2_1205_T3_T_S517_N704_R,215527,204893,0.950660474093733
H3N2_1205_T4_T_S517_N705_R,199171,184334,0.9255062232955601
H3N2_1205_T5_T_S517_N706_R,172510,159748,0.9260216799026143
H3N2_1219_T0_N_S517_N707_R,226907,205577,0.9059967299378159
H3N2_1219_T1_N_S517_N708_R,180942,153608,0.8489350178510241
H3N2_1219_T2_N_S517_N709_R,174501,158065,0.9058114280147391
H3N2_1219_T3_N_S507_N708_P,483378,463541,0.9589617235372732
H3N2_1219_T3_N_S517_N710_R,121031,110992,0.9170543084003272
H3N2_1221_T0_N_S517_N711_R,86846,84060,0.9679202266080188
H3N2_1221_T1_N_S517_N712_R,171188,151858,0.8870832067668295
H3N2_1221_T4_N_S502_N701_R,190031,176662,0.9296483205371755
H3N2_1224_T0_N_S502_N702_R,220214,207291,0.9413161742668495
H3N2_1224_T1_T_S502_N703_R,183349,166339,0.9072261097688016
H3N2_1224_T2_T_S502_N704_R,165565,151075,0.9124815027330656
H3N2_1224_T2_T_S507_N709_P,669876,643396,0.9604702959950797
H3N2_1224_T3_T_S502_N705_R,151309,135260,0.8939322842659723
H3N2_1224_T3_T_S507_N710_P,527026,500348,0.94938010648431
H3N2_1225_T0_N_S502_N706_R,177032,161942,0.9147611731212436
H3N2_1225_T10_N_S502_N712_R,127172,113193,0.8900780045922059
H3N2_1225_T10_N_S508_N702_P,34603,31315,0.9049793370517007
H3N2_1225_T1_N_S502_N707_R,171511,155433,0.9062567415501046
H3N2_1225_T2_N_S502_N708_R,126041,108957,0.864456803738466
H3N2_1225_T2_N_S507_N711_P,468718,439420,0.9374933328781911
H3N2_1225_T3_N_S502_N709_R,153169,142553,0.9306909361554884
H3N2_1225_T3_N_S507_N712_P,641585,615390,0.9591714270127887
H3N2_1225_T5_T_S502_N710_R,138103,125205,0.906605939045495
H3N2_1225_T7_N_S502_N711_R,135184,121588,0.8994259675701266
H3N2_1225_T7_N_S508_N701_P,387895,374229,0.9647688163033811
H3N2_1226_T0_N_S503_N701_R,196638,180133,0.9160640364527711
H3N2_1226_T1_N_S503_N702_R,192492,178012,0.924776094590944
H3N2_1226_T3_N_S503_N703_R,170727,159077,0.9317624043062902
H3N2_1226_T3_N_S508_N703_P,450563,430350,0.9551383491320858
H3N2_1227_T0_N_S503_N704_R,181352,169290,0.93348846442278
H3N2_1227_T1_T_S503_N705_R,172295,153373,0.8901767317681882
H3N2_1227_T2_T_S503_N706_R,123661,113564,0.9183493583263923
H3N2_1227_T2_T_S508_N704_P,491125,473084,0.9632659709849835
H3N2_1231_T0_N_S503_N707_R,132837,119336,0.898364160587788
H3N2_1231_T10_T_S503_N711_R,110378,93343,0.8456667089456232
H3N2_1231_T10_T_S508_N705_P,590787,565583,0.9573382623517444
H3N2_1231_T1_N_S503_N708_R,157833,139747,0.8854105288501137
H3N2_1231_T2_T_S503_N709_R,144498,127936,0.8853824966435522
H3N2_1231_T4_N_S503_N710_R,156284,142700,0.913081313506181
H3N2_1412_T0_N_S503_N712_R,161853,135855,0.8393727641748995
H3N2_1412_T1_N_S504_N701_R,304914,282828,0.9275664613628761
H3N2_1412_T2_N_S504_N702_R,133637,120454,0.9013521704318415
H3N2_1412_T3_T_S504_N703_R,187826,173587,0.9241904741622565
H3N2_1413_T0_N_S504_N704_R,106252,98836,0.9302036667545082
H3N2_1413_T1_T_S504_N705_R,177380,158550,0.893843725335438
H3N2_1413_T2_T_S504_N706_R,113458,100765,0.8881260025736396
H3N2_1413_T3_T_S504_N707_R,173156,154955,0.8948866917692716
H3N2_1413_T4_N_S504_N708_R,187002,167075,0.8934396423567662
H3N2_1413_T5_N_S504_N709_R,177644,157971,0.8892560401702281
H3N2_1413_T7_T_S504_N710_R,150788,135973,0.9017494760856302
H3N2_1413_T7_T_S508_N706_P,588372,564178,0.9588797563446255
H3N2_1414_T0_N_S504_N711_R,203365,183966,0.9046099377965726
H3N2_1414_T1_N_S504_N712_R,136666,119645,0.8754554900267806
H3N2_1414_T6_T_S505_N701_R,207394,185319,0.893560083705411
H3N2_1414_T6_T_S508_N707_P,585080,552606,0.9444964791139673
H3N2_1416_T0_N_S505_N702_R,177325,163182,0.9202424925983363
H3N2_1416_T1_N_S505_N703_R,163045,155416,0.9532092367137907
H3N2_1416_T5_T_S505_N704_R,151062,136574,0.904092359428579
H3N2_1418_T0_T_S505_N705_R,153543,138172,0.8998912356799073
H3N2_1418_T1_T_S505_N706_R,162296,148138,0.9127643318381229
H3N2_1418_T2_T_S505_N707_R,194570,178213,0.9159325692552809
H3N2_1418_T6_T_S505_N708_R,189255,168480,0.8902274708726322
H3N2_1668_T0_N_S505_N709_R,195875,172160,0.8789278876834716
H3N2_1668_T1_T_S505_N710_R,134649,121023,0.898803555912038
H3N2_1668_T2_T_S505_N711_R,183640,165560,0.9015465040296232
H3N2_1668_T5_T_S505_N712_R,170926,150387,0.8798368884780549
H3N2_1670_T0_T_S506_N701_R,218981,204894,0.9356702179641156
H3N2_1670_T1_T_S506_N702_R,192493,177170,0.9203971053492854
H3N2_1670_T2_N_S506_N703_R,229922,212009,0.922090969981124
H3N2_1670_T4_T_S506_N704_R,237683,225963,0.9506906257494225
H3N2_1670_T5_T_S506_N705_R,215414,198376,0.9209057907099817
H3N2_1670_T7_N_S506_N706_R,133547,121046,0.9063925060091204
H3N2_1671_T0_T_S506_N707_R,221749,197546,0.8908540737500508
H3N2_1671_T1_T_S506_N708_R,182984,165988,0.9071175621912299
H3N2_1671_T2_T_S506_N709_R,238463,214197,0.8982399785291638
H3N2_1672_T0_T_S506_N710_R,141007,126731,0.8987567993078358
H3N2_1672_T2_T_S506_N711_R,171457,155141,0.9048391141802318
H3N2_1672_T3_T_S506_N712_R,154723,132980,0.8594714425133949
H3N2_1672_T3_T_S508_N708_P,484866,458596,0.9458200822495287
H3N2_1673_T0_T_S507_N701_R,228939,206486,0.9019258405077335
H3N2_1673_T1_N_S507_N702_R,184421,170803,0.9261580839492248
H3N2_1673_T2_T_S507_N703_R,233824,210908,0.9019946626522513
H3N2_1682_T0_N_S507_N704_R,68370,58859,0.8608892789235044
H3N2_1682_T10_N_S507_N711_R,216016,195298,0.9040904377453522
H3N2_1682_T1_N_S507_N705_R,159477,143876,0.902173981201051
H3N2_1682_T2_T_S507_N706_R,141508,127514,0.9011080645617209
H3N2_1682_T3_T_S507_N707_R,151783,136357,0.8983680649348083
H3N2_1682_T4_N_S507_N708_R,163512,143741,0.879085327070796
H3N2_1682_T5_T_S507_N709_R,212683,189021,0.888745221761965
H3N2_1682_T7_N_S507_N710_R,158749,143659,0.9049442831135944
H3N2_1686_T0_N_S507_N712_R,170415,143237,0.840518733679547
H3N2_1686_T1_T_S508_N701_R,166690,152419,0.9143859859619653
H3N2_1686_T1_T_S508_N709_P,749942,716851,0.9558752543530032
H3N2_1686_T3_T_S508_N702_R,153963,141137,0.9166942707014023
H3N2_1686_T3_T_S508_N710_P,588661,559765,0.950912324750578
H3N2_1687_T0_N_S508_N703_R,176426,158280,0.8971466790609094
H3N2_1687_T10_T_S508_N705_R,166322,148380,0.8921249143228196
H3N2_1687_T1_N_S508_N704_R,188577,176323,0.9350185865720634
H3N2_1688_T0_N_S508_N706_R,160753,144763,0.9005306277332304
H3N2_1688_T1_T_S508_N707_R,144259,124300,0.8616446807478216
H3N2_1688_T2_N_S508_N708_R,209387,187462,0.895289583402981
H3N2_1688_T3_N_S508_N709_R,332654,295434,0.8881119721993422
H3N2_1691_T0_N_S508_N710_R,132480,118693,0.895931461352657
H3N2_1691_T1_T_S517_N701_R,141630,114718,0.8099837605027184
H3N2_1691_T2_T_S517_N702_R,283389,229237,0.8089128371249413
H3N2_1691_T3_N_S508_N711_P,474482,447271,0.942651143773631
H3N2_1691_T3_N_S508_N711_R,160238,144918,0.9043922165778404
H3N2_1691_T4_N_S508_N712_P,629980,596585,0.9469903806470047
H3N2_1691_T4_N_S508_N712_R,159213,138345,0.8689303009176387
H3N2_1691_T5_T_S517_N703_R,246681,213679,0.8662158820500971
H3N2_1701_T0_T_S517_N704_R,130728,95869,0.7333471023805153
H3N2_1701_T1_T_S517_N705_R,205401,172854,0.8415441015379672
H3N2_1701_T2_T_S517_N706_R,116862,102284,0.8752545737707723
H3N2_1701_T3_T_S517_N707_R,271919,232882,0.8564388659858266
H3N2_1707_T0_N_S517_N708_R,161174,130328,0.8086167744177101
H3N2_1707_T1_T_S517_N709_R,107480,88775,0.8259676218831411
H3N2_1707_T3_T_S517_N710_R,213394,186302,0.8730423535807005
H3N2_1707_T4_N_S517_N701_P,118519,37427,0.31578902960706723
H3N2_1707_T4_N_S517_N711_R,34606,29304,0.8467895740623014
H3N2_1707_T5_N_S517_N712_R,284091,241758,0.8509878876838759
H3N2_1707_T7_N_S502_N701_R,131059,109046,0.8320374793032146
H3N2_1813_T0_T_S502_N702_R,242060,200715,0.8291952408493762
H3N2_1813_T1_T_S502_N703_R,401150,336258,0.8382350741617849
H3N2_1813_T3_N_S502_N704_R,217531,183045,0.8414662737724738
H3N2_1813_T4_T_S502_N705_R,152133,128853,0.8469760012620536
H3N2_1814_T0_N_S502_N706_R,111130,98213,0.8837667596508594
H3N2_1814_T1_T_S502_N707_R,189841,166852,0.8789039248634384
H3N2_1814_T2_T_S502_N708_R,144153,113272,0.7857762238732457
H3N2_1814_T3_T_S502_N709_R,215861,184409,0.8542951251036547
H3N2_1814_T4_T_S502_N710_R,165233,147214,0.8909479341293809
H3N2_1814_T5_T_S502_N711_R,146255,123180,0.8422276161498752
H3N2_1815_T0_N_S502_N712_R,133510,115292,0.8635458018125983
H3N2_1815_T1_N_S503_N701_R,144542,112521,0.7784657746537339
