sampid,total_pairs,both,both_prop,forward,reverse,dropped
H3N2_1205_T0_T_S517_N701_R,188180,187863,0.9983154426612818,0,3,314
H3N2_1205_T1_N_S517_N702_R,212938,212211,0.9965858606730598,3,7,717
H3N2_1205_T2_T_S517_N703_R,205797,204817,0.9952380258215621,2,7,971
H3N2_1205_T3_T_S517_N704_R,216519,215527,0.995418415935784,6,9,977
H3N2_1205_T4_T_S517_N705_R,199923,199171,0.9962385518424594,2,3,747
H3N2_1205_T5_T_S517_N706_R,173311,172510,0.9953782506592196,2,8,791
H3N2_1219_T0_N_S517_N707_R,227186,226907,0.9987719313690104,3,3,273
H3N2_1219_T1_N_S517_N708_R,181221,180942,0.9984604433261046,2,5,272
H3N2_1219_T2_N_S517_N709_R,174855,174501,0.9979754653856052,2,2,350
H3N2_1219_T3_N_S507_N708_P,488308,483378,0.9899039131040245,29,49,4852
H3N2_1219_T3_N_S517_N710_R,121521,121031,0.9959677751170579,2,4,484
H3N2_1221_T0_N_S517_N711_R,87255,86846,0.9953125895364162,2,0,407
H3N2_1221_T1_N_S517_N712_R,171549,171188,0.997895644976071,1,2,358
H3N2_1221_T4_N_S502_N701_R,190427,190031,0.9979204629595593,0,3,393
H3N2_1224_T0_N_S502_N702_R,220989,220214,0.9964930381150193,0,2,773
H3N2_1224_T1_T_S502_N703_R,183846,183349,0.9972966504574481,1,5,491
H3N2_1224_T2_T_S502_N704_R,166455,165565,0.9946532095761618,1,6,883
H3N2_1224_T2_T_S507_N709_P,675615,669876,0.9915055171954441,29,49,5661
H3N2_1224_T3_T_S502_N705_R,151766,151309,0.9969887853669465,1,4,452
H3N2_1224_T3_T_S507_N710_P,531086,527026,0.9923552870909796,17,44,3999
H3N2_1225_T0_N_S502_N706_R,177479,177032,0.9974813921647068,3,3,441
H3N2_1225_T10_N_S502_N712_R,127626,127172,0.9964427311049473,11,9,434
H3N2_1225_T10_N_S508_N702_P,37140,34603,0.9316908992999462,76,74,2387
H3N2_1225_T1_N_S502_N707_R,171701,171511,0.9988934251984555,1,2,187
H3N2_1225_T2_N_S502_N708_R,126169,126041,0.9989854877188533,0,1,127
H3N2_1225_T2_N_S507_N711_P,472878,468718,0.9912028049518058,24,25,4111
H3N2_1225_T3_N_S502_N709_R,153601,153169,0.9971875183104276,1,0,431
H3N2_1225_T3_N_S507_N712_P,648350,641585,0.9895658209300532,28,41,6696
H3N2_1225_T5_T_S502_N710_R,138458,138103,0.9974360455878317,0,2,353
H3N2_1225_T7_N_S502_N711_R,135398,135184,0.9984194744383226,1,1,212
