index,print_name,show_name,show_tip,subject_id
H3N2_Bris07,H3N2_Bris07,1,0,
H3N2_3610_T0_N_S503_N703_R|C,3610_D5_Consensus,1,0,3610
H3N2_3610_T1_N_S503_N704_R|C,3610_D6_Consensus,1,0,3610
H3N2_3610_T0_N_S503_N703_R|M1,3610_D5_Minor,1,0,3610
H3N2_3610_T1_N_S503_N704_R|M1,3610_D6_Minor,1,0,3610
H3N2_1221_T1_N_S517_N712_R|M1,1221_D4_Minor,1,0,1221
H3N2_1221_T1_N_S517_N712_R|C,1221_D4_Consensus,1,0,1221
H3N2_1221_T0_N_S517_N711_R|C,1221_D3_Consensus,1,0,1221
H3N2_1221_T4_N_S502_N701_R|M1,1221_D7_Minor,1,0,1221
H3N2_1221_T0_N_S517_N711_R|M1,1221_D3_Minor,1,0,1221
H3N2_1221_T4_N_S502_N701_R|C,1221_D7_Consensus,1,0,1221
H3N2_1813_T4_T_S502_N705_R|C,1813_D11_Consensus,1,0,1813
H3N2_1813_T1_T_S502_N703_R|C,1813_D8_Consensus,1,0,1813
H3N2_1813_T0_T_S502_N702_R|C,1813_D7_Consensus,1,0,1813
H3N2_1813_T3_N_S502_N704_R|C,1813_D10_Consensus,1,0,1813
H3N2_1813_T3_N_S502_N704_R|M1,1813_D10_Minor,1,0,1813
H3N2_1813_T1_T_S502_N703_R|M1,1813_D8_Minor,1,0,1813
H3N2_1813_T0_T_S502_N702_R|M1,1813_D7_Minor,1,0,1813
H3N2_1813_T4_T_S502_N705_R|M1,1813_D11_Minor,1,0,1813
H3N2_1205_T2_T_S517_N703_R|C,1205_D8_Consensus,1,0,1205
H3N2_1205_T5_T_S517_N706_R|C,1205_D11_Consensus,1,0,1205
H3N2_1205_T3_T_S517_N704_R|C,1205_D9_Consensus,1,0,1205
H3N2_1205_T1_N_S517_N702_R|C,1205_D7_Consensus,1,0,1205
H3N2_1205_T4_T_S517_N705_R|C,1205_D10_Consensus,1,0,1205
H3N2_1205_T0_T_S517_N701_R|C,1205_D6_Consensus,1,0,1205
H3N2_1205_T0_T_S517_N701_R|M1,1205_D6_Minor,1,0,1205
H3N2_1205_T3_T_S517_N704_R|M1,1205_D9_Minor,1,0,1205
H3N2_1205_T2_T_S517_N703_R|M1,1205_D8_Minor,1,0,1205
H3N2_1205_T4_T_S517_N705_R|M1,1205_D10_Minor,1,0,1205
H3N2_1205_T5_T_S517_N706_R|M1,1205_D11_Minor,1,0,1205
H3N2_1205_T1_N_S517_N702_R|M1,1205_D7_Minor,1,0,1205
H3N2_3608_T5_T_S502_N708_R|C,3608_D11_Consensus,1,0,3608
H3N2_3608_T0_N_S502_N706_R|C,3608_D6_Consensus,1,0,3608
H3N2_3608_T1_N_S502_N707_R|C,3608_D7_Consensus,1,0,3608
H3N2_3608_T5_T_S502_N708_R|M1,3608_D11_Minor,1,0,3608
H3N2_3608_T0_N_S502_N706_R|M1,3608_D6_Minor,1,0,3608
H3N2_3608_T1_N_S502_N707_R|M1,3608_D7_Minor,1,0,3608
H3N2_1691_T2_T_S517_N702_R|C,1691_D7_Consensus,1,0,1691
H3N2_1691_T1_T_S517_N701_R|C,1691_D6_Consensus,1,0,1691
H3N2_1691_T4_N_S508_N712_RP|C,1691_D9_Consensus,1,0,1691
H3N2_1691_T3_N_S508_N711_RP|C,1691_D8_Consensus,1,0,1691
H3N2_1691_T3_N_S508_N711_RP|M1,1691_D8_Minor,1,0,1691
H3N2_1691_T1_T_S517_N701_R|M1,1691_D6_Minor,1,0,1691
H3N2_1691_T2_T_S517_N702_R|M1,1691_D7_Minor,1,0,1691
H3N2_1691_T4_N_S508_N712_RP|M1,1691_D9_Minor,1,0,1691
H3N2_3611_T4_N_S503_N709_R|C,3611_D10_Consensus,1,0,3611
H3N2_3611_T0_N_S503_N706_R|C,3611_D6_Consensus,1,0,3611
H3N2_3611_T3_N_S503_N708_R|C,3611_D9_Consensus,1,0,3611
H3N2_3611_T1_N_S503_N707_R|C,3611_D7_Consensus,1,0,3611
H3N2_3611_T1_N_S503_N707_R|M1,3611_D7_Minor,1,0,3611
H3N2_3611_T0_N_S503_N706_R|M1,3611_D6_Minor,1,0,3611
H3N2_3611_T4_N_S503_N709_R|M1,3611_D10_Minor,1,0,3611
H3N2_3611_T3_N_S503_N708_R|M1,3611_D9_Minor,1,0,3611
H3N2_3609_T0_N_S502_N709_R|C,3609_D2_Consensus,1,0,3609
H3N2_3609_T3_N_S502_N712_R|C,3609_D5_Consensus,1,0,3609
H3N2_3609_T5_N_S503_N702_R|C,3609_D7_Consensus,1,0,3609
H3N2_3609_T1_N_S502_N710_R|C,3609_D3_Consensus,1,0,3609
H3N2_3609_T1_N_S502_N710_R|M1,3609_D3_Minor,1,0,3609
H3N2_3609_T0_N_S502_N709_R|M1,3609_D2_Minor,1,0,3609
H3N2_3609_T5_N_S503_N702_R|M1,3609_D7_Minor,1,0,3609
H3N2_3609_T3_N_S502_N712_R|M1,3609_D5_Minor,1,0,3609
H3N2_3612_T3_T_S504_N701_R|C,3612_D6_Consensus,1,0,3612
H3N2_3612_T0_T_S503_N710_R|C,3612_D3_Consensus,1,0,3612
H3N2_3612_T1_N_S503_N711_R|C,3612_D4_Consensus,1,0,3612
H3N2_3612_T2_N_S503_N712_R|C,3612_D5_Consensus,1,0,3612
