sampid,mapped,unmapped,fail_qual
H3N2_1205_T2_T_S517_N703_R,181010,10490,16
H3N2_1205_T0_T_S517_N701_R,173804,499,48
H3N2_1205_T3_T_S517_N704_R,197581,7295,17
H3N2_1205_T1_N_S517_N702_R,198878,1114,23
H3N2_1205_T5_T_S517_N706_R,158726,983,39
H3N2_1205_T4_T_S517_N705_R,183326,972,36
H3N2_1219_T1_N_S517_N708_R,152279,1290,39
H3N2_1219_T0_N_S517_N707_R,205182,347,48
H3N2_1221_T0_N_S517_N711_R,83908,147,5
H3N2_1219_T2_N_S517_N709_R,155489,2545,31
H3N2_1219_T3_N_S517_N710_RP,129988,444524,21
H3N2_1221_T1_N_S517_N712_R,150929,901,28
H3N2_1221_T4_N_S502_N701_R,171100,5528,34
H3N2_1224_T1_T_S502_N703_R,164565,1743,31
H3N2_1224_T0_N_S502_N702_R,200488,6782,21
H3N2_1225_T10_N_S502_N712_RP,58150,86346,12
H3N2_1224_T2_T_S502_N704_RP,285568,508882,21
H3N2_1225_T0_N_S502_N706_R,161741,180,21
H3N2_1225_T1_N_S502_N707_R,155267,139,27
H3N2_1224_T3_T_S502_N705_RP,400496,235004,108
H3N2_1225_T5_T_S502_N710_R,118189,7002,14
H3N2_1225_T2_N_S502_N708_RP,450542,97750,85
H3N2_1226_T0_N_S503_N701_R,179548,550,35
H3N2_1225_T7_N_S502_N711_RP,323245,172531,41
H3N2_1225_T3_N_S502_N709_RP,533490,224405,48
H3N2_1226_T1_N_S503_N702_R,176356,1616,40
H3N2_1227_T0_N_S503_N704_R,168957,297,36
H3N2_1227_T1_T_S503_N705_R,148680,4673,20
H3N2_1231_T10_T_S503_N711_RP,254,658672,0
H3N2_1231_T0_N_S503_N707_R,119142,167,27
H3N2_1227_T2_T_S503_N706_RP,211973,374654,21
H3N2_1231_T1_N_S503_N708_R,139452,251,44
H3N2_1226_T3_N_S503_N703_RP,427956,161416,55
H3N2_1231_T2_T_S503_N709_R,106989,20920,27
