sampid,gene,pi
H3N2_1671_T0_T_S506_N707_R,3-PA,0.00013019509486448792
H3N2_1843_T2_N_S504_N712_R,5-NP,0.0002148278720200417
H3N2_1828_T1_N_S503_N709_R,4-HA,0.00022224215701068266
H3N2_1412_T0_N_S503_N712_R,6-NA,0.00011394809567769333
H3N2_1864_T2_T_S506_N710_R,4-HA,0.0001928866499303241
H3N2_1413_T1_T_S504_N705_R,4-HA,0.0003316564191898354
H3N2_1848_T1_N_S505_N710_R,3-PA,0.00014197221577013492
H3N2_1224_T0_N_S502_N702_R,5-NP,0.0007563284046645709
H3N2_1205_T3_T_S517_N704_R,4-HA,0.000173298564584957
H3N2_1847_T0_N_S505_N706_R,1-PB2,0.00014734744872435282
H3N2_1866_T7_T_S507_N703_R,1-PB2,0.0004146568213059505
H3N2_1825_T2_T_S503_N706_R,3-PA,0.00016207529978618733
H3N2_1869_T2_N_S508_N703_R,2-PB1,0.0003850113133141141
H3N2_1413_T5_N_S504_N709_R,3-PA,0.00023121057367003043
H3N2_1848_T1_N_S505_N710_R,1-PB2,0.0002284447812929036
H3N2_1691_T5_T_S517_N703_R,6-NA,0.00032309163400605454
H3N2_3612_T4_N_S504_N702_R,5-NP,0.0005134608128982452
H3N2_1843_T7_T_S505_N704_R,4-HA,0.0003719680486384981
H3N2_3613_T1_T_S504_N704_R,4-HA,6.013694437040431e-05
H3N2_1878_T0_N_S517_N707_R,4-HA,7.379779077807258e-05
H3N2_1205_T4_T_S517_N705_R,4-HA,0.0001586042360459394
H3N2_1231_T2_T_S503_N709_R,4-HA,0.00015860814737588948
H3N2_1221_T0_N_S517_N711_R,1-PB2,8.923076926931917e-05
H3N2_1682_T10_N_S507_N711_R,2-PB1,0.0005594152223318835
H3N2_1225_T7_N_S502_N711_RP,3-PA,0.00017593254845920325
H3N2_1673_T2_T_S507_N703_R,3-PA,0.0013326806034466687
H3N2_1843_T2_N_S504_N712_R,7-M,0.00023919092800281242
H3N2_3611_T1_N_S503_N707_R,3-PA,0.00010192944695159759
