Day(s) since symptom onset,med_syn,iqr_syn_1,iqr_syn_3,min_syn,max_syn,med_nonsyn,iqr_nonsyn_1,iqr_nonsyn_3,min_nonsyn,max_nonsyn,pvalue,med_stop,iqr_stop_1,iqr_stopn_3,min_stop,max_stop
2,5.946809713665045e-06,5.249196036348509e-06,7.040486725338448e-06,4.944981666110558e-06,2.373878928242046e-05,6.168406922383479e-07,6.007818190713588e-07,1.3538270247805252e-06,0.0,2.1460308658436583e-06,0.03125,0.0,0.0,0.0,0.0,0.0
3,6.0833505650861875e-06,3.6871008489693377e-06,1.0359170238253253e-05,2.8466469169760622e-06,1.3621648480173845e-05,1.0074771774604236e-06,4.5686438742100053e-07,1.7654748902044473e-06,0.0,2.4621468799862335e-06,0.000244140625,0.0,0.0,3.936018375337568e-07,0.0,1.4377655696783753e-06
4,5.359807816654277e-06,4.398506182992539e-06,9.928424606784254e-06,2.9660236482305262e-06,1.5205591748777821e-05,1.864966424972781e-06,8.964770275986697e-07,5.251520379578378e-06,0.0,1.3453261768427995e-05,0.002838134765625,0.0,0.0,0.0,0.0,1.4643089340416684e-06
5,6.268059114832219e-06,3.412879276779346e-06,9.89336228897818e-06,7.001228009225779e-07,1.4205896171481049e-05,3.0963508502186937e-06,1.4263650472832694e-06,5.118178234042318e-06,0.0,1.2937290164851185e-05,0.0007149577140808105,0.0,0.0,5.287782261817135e-07,0.0,2.6573535581782725e-06
6,5.620296523258622e-06,3.0385584462577973e-06,7.32016807083941e-06,1.7541333399321983e-06,1.4170908864896183e-05,2.994477748441719e-06,2.203959697811035e-06,5.365139092340444e-06,2.4520854499740615e-07,1.6662857106850372e-05,0.031113353101123627,0.0,0.0,3.400394056588748e-07,0.0,3.761455793185808e-06
7,6.338707806708699e-06,3.757672584281986e-06,7.941230760438102e-06,1.4680555870601318e-06,1.4706877306947042e-05,4.81824871006707e-06,2.3453393369263095e-06,6.383670705057813e-06,0.0,1.1303450144846218e-05,0.026665616912217905,0.0,0.0,1.9079449034653096e-07,0.0,1.4186410832736074e-06
8,4.886927689283436e-06,2.8628458598394176e-06,6.430359160853629e-06,1.52526650474745e-06,1.198134912335691e-05,2.919681540337331e-06,1.644069383718279e-06,6.67267493659085e-06,0.0,1.0068085899692977e-05,0.156402587890625,0.0,0.0,2.659282797586158e-07,0.0,1.0638835586814422e-06
9,3.029513009816002e-06,2.2139793844394272e-06,4.755258252263808e-06,1.9699150089142075e-06,7.0719100485593315e-06,5.678342135339355e-06,1.7447857505021736e-06,6.793577367954791e-06,0.0,1.0912463445132785e-05,0.51953125,0.0,0.0,3.991903781708972e-07,0.0,1.0088723547558552e-06
10,2.5842786377654335e-06,1.811038626216204e-06,3.527187719314842e-06,9.421406096982195e-07,4.9050929458333635e-06,5.1272388716653e-06,1.940817169654451e-06,8.3119366259715e-06,1.9290716233871635e-06,8.318510329124832e-06,0.25,0.0,0.0,4.576886302052645e-08,0.0,1.830754520821058e-07
11,2.707490137770738e-06,1.8735161172042358e-06,5.377383088684094e-06,1.840379812361809e-06,6.398396201764971e-06,1.5527450760633528e-06,1.3025523647751508e-06,7.033851702089502e-06,5.274790167807757e-07,8.277659369945302e-06,0.8125,3.413631586742708e-07,0.0,3.9658366963628516e-07,0.0,5.785538535974468e-07
12,5.286383560958039e-06,4.773235387976233e-06,5.799531733939845e-06,4.2600872149944265e-06,6.312679906921651e-06,3.0409093409023683e-06,2.4467240235673463e-06,3.6350946582373903e-06,1.8525387062323245e-06,4.229279975572412e-06,0.5,1.287551920111735e-06,7.54214069582493e-07,1.8208897706409767e-06,2.2087621905325124e-07,2.3542276211702184e-06
13,1.7237452528457227e-06,1.4955998105668654e-06,1.8360434264105485e-06,1.2674543682880081e-06,1.948341599975374e-06,2.7835380634565005e-07,1.3917690317282502e-07,2.3268264733540967e-06,0.0,4.375299140362544e-06,1.0,1.4455446524948604e-07,1.281265239479301e-07,2.3224375483097572e-07,1.1169858264637416e-07,3.199330444124654e-07
